container_id,milestone_timestamp,location_name,location_city,location_country,location_unlocode,location_facility,description,raw_description,vessel_imo,vessel_mmsi,voyage,mode,vessel,shipping_company
TGBU7240673,2021-07-20 05:00:00 UTC,LOS ANGELES (CA)  CHINA  PEOPLE'S REPUBLIC,Washington,United States,USLAX,,Estimated arrival at destination,Estimated arrival at destination,,,,Vessel,,ZIMU
CAIU8967196,2021-08-05 14:30:00 UTC,LONG BEACH,Long Beach,United States,USLGB,,Vessel arrived at destination port,Estimated Time of Arrival,7434444,353056000,,Vessel,MSC KATIE,MEDU
CAIU7667960,2021-08-24 13:00:00 UTC,LOS ANGELES  CA,Los Angeles,United States,USLAX,,Estimated arrival at destination,Estimated arrival at destination,9312781,372218000,,Vessel,NYK VEGA,HDMU
GAOU6340626,2021-08-24 13:00:00 UTC,LOS ANGELES  CA,Los Angeles,United States,USLAX,,Estimated arrival at destination,Estimated arrival at destination,9312781,372218000,,Vessel,NYK VEGA,HDMU
OOCU7443038,2021-08-21 08:00:00 UTC,,,,,,Estimated arrival at destination,Estimated arrival at destination,,,,Vessel,,COSU
TCNU5069068,2021-08-27 14:00:00 UTC,LOS ANGELES  CA,Los Angeles,United States,USLAX,,Estimated arrival at destination,Estimated arrival at destination,9326768,371110000,,Vessel,NORTH BRIDGE,HDMU
ZCSU7381803,2021-07-20 05:00:00 UTC,LOS ANGELES (CA)  CHINA  PEOPLE'S REPUBLIC,Washington,United States,USLAX,,Estimated arrival at destination,Estimated arrival at destination,,,,Vessel,,ZIMU
TCNU4554285,2021-08-06 08:00:00 UTC,LOS ANGELES (CA)  CHINA  PEOPLE'S REPUBLIC,Washington,United States,USLAX,,Estimated arrival at destination,Estimated arrival at destination,,,,Vessel,,ZIMU
CAIU9968345,2021-08-18 13:00:00 UTC,LOS ANGELES  CA,Los Angeles,United States,USLAX,,Estimated arrival at destination,Estimated arrival at destination,9388352,370407000,,Vessel,ONE CONTINUITY,HDMU
KOCU4318254,2021-08-27 13:00:00 UTC,LONG BEACH  CA,Long Beach,United States,USLGB,,Estimated arrival at destination,Estimated arrival at destination,,,,Vessel,HYUNDAI MARS,HDMU
TLLU4443549,2021-08-06 08:00:00 UTC,LOS ANGELES (CA)  CHINA  PEOPLE'S REPUBLIC,Washington,United States,USLAX,,Estimated arrival at destination,Estimated arrival at destination,,,,Vessel,,ZIMU
TRHU6250958,2021-08-16 23:00:00 UTC,NEW YORK,New York,United States,USNYC,,Vessel arrived at destination port,Estimated Time of Arrival,,,,,MSC TOMOKO,MEDU
INKU2382856,2021-08-05 14:30:00 UTC,LONG BEACH,Long Beach,United States,USLGB,,Vessel arrived at destination port,Estimated Time of Arrival,7434444,353056000,,Vessel,MSC KATIE,MEDU
SEGU5332711,2021-08-06 08:00:00 UTC,LOS ANGELES (CA)  CHINA  PEOPLE'S REPUBLIC,Washington,United States,USLAX,,Estimated arrival at destination,Estimated arrival at destination,,,,Vessel,,ZIMU
SEGU5802374,2021-08-16 13:00:00 UTC,LOS ANGELES  CA,Los Angeles,United States,USLAX,,Estimated arrival at destination,Estimated arrival at destination,9388352,370407000,,Vessel,ONE CONTINUITY,HDMU
FFAU1676538,2021-08-05 14:30:00 UTC,LONG BEACH,Long Beach,United States,USLGB,,Vessel arrived at destination port,Estimated Time of Arrival,7434444,353056000,,Vessel,MSC KATIE,MEDU
CSLU1532443,2021-09-08 18:00:00 UTC,,,,,,Estimated arrival at destination,Estimated arrival at destination,,,,Vessel,,COSU
TCNU7229890,2021-08-23 02:00:00 UTC,LOS ANGELES  CA,Los Angeles,United States,USLAX,,Estimated arrival at destination,Estimated arrival at destination,9326768,371110000,,Vessel,NORTH BRIDGE,HDMU
TGHU9708791,2021-07-20 05:00:00 UTC,LOS ANGELES (CA)  CHINA  PEOPLE'S REPUBLIC,Washington,United States,USLAX,,Estimated arrival at destination,Estimated arrival at destination,,,,Vessel,,ZIMU
MEDU6555930,2021-08-05 14:30:00 UTC,LONG BEACH,Long Beach,United States,USLGB,,Vessel arrived at destination port,Estimated Time of Arrival,7434444,353056000,,Vessel,MSC KATIE,MEDU
KOCU4614169,2021-08-27 13:00:00 UTC,LONG BEACH  CA,Long Beach,United States,USLGB,,Estimated arrival at destination,Estimated arrival at destination,,,,Vessel,HYUNDAI MARS,HDMU
BSIU9161111,2021-08-24 13:00:00 UTC,LOS ANGELES  CA,Los Angeles,United States,USLAX,,Estimated arrival at destination,Estimated arrival at destination,9312781,372218000,,Vessel,NYK VEGA,HDMU
KOCU4919070,2021-08-26 19:00:00 UTC,LOS ANGELES  CA,Los Angeles,United States,USLAX,,Estimated arrival at destination,Estimated arrival at destination,9326768,371110000,,Vessel,NORTH BRIDGE,HDMU
TRLU7202269,2021-08-12 08:00:00 UTC,,,,,,Estimated arrival at destination,Estimated arrival at destination,,,,Vessel,,COSU
HMMU6010407,2021-08-15 23:00:00 UTC,LOS ANGELES  CA,Los Angeles,United States,USLAX,,Estimated arrival at destination,Estimated arrival at destination,9388352,370407000,,Vessel,ONE CONTINUITY,HDMU
CSNU6117709,2021-07-29 06:30:00 UTC,,,,,,Estimated arrival at destination,Estimated arrival at destination,,,,Vessel,,COSU
CSLU6182287,2021-08-25 23:00:00 UTC,,,,,,Estimated arrival at destination,Estimated arrival at destination,,,,Vessel,,COSU
KOCU4193389,2021-08-27 14:00:00 UTC,LOS ANGELES  CA,Los Angeles,United States,USLAX,,Estimated arrival at destination,Estimated arrival at destination,9326768,371110000,,Vessel,NORTH BRIDGE,HDMU
TCNU4564914,2021-07-10 02:00:00 UTC,LOS ANGELES (CA)  CHINA  PEOPLE'S REPUBLIC,Washington,United States,USLAX,,Estimated arrival at destination,Estimated arrival at destination,,,,Vessel,,ZIMU
MSCU5248038,2021-08-05 14:30:00 UTC,LONG BEACH,Long Beach,United States,USLGB,,Vessel arrived at destination port,Estimated Time of Arrival,7434444,353056000,,Vessel,MSC KATIE,MEDU
MSMU5139314,2021-08-18 13:45:00 UTC,LOS ANGELES,Los Angeles,United States,USLAX,,Vessel arrived at destination port,Estimated Time of Arrival,,,,,MSC JOSSELINE,MEDU
CAIU4564870,2021-08-23 02:00:00 UTC,LOS ANGELES  CA,Los Angeles,United States,USLAX,,Estimated arrival at destination,Estimated arrival at destination,9326768,371110000,,Vessel,NORTH BRIDGE,HDMU
TEMU0096163,2021-09-02 11:00:00 UTC,,,,,,Estimated arrival at destination,Estimated arrival at destination,,,,Vessel,,COSU
OOCU7821056,2021-08-25 23:00:00 UTC,,,,,,Estimated arrival at destination,Estimated arrival at destination,,,,Vessel,,COSU
MSCU1268695,2021-08-05 14:30:00 UTC,LONG BEACH,Long Beach,United States,USLGB,,Vessel arrived at destination port,Estimated Time of Arrival,7434444,353056000,,Vessel,MSC KATIE,MEDU
TCLU5578026,2021-08-04 14:30:00 UTC,LONG BEACH,Long Beach,United States,USLGB,,Vessel arrived at destination port,Estimated Time of Arrival,7434444,353056000,,Vessel,MSC KATIE,MEDU
CAIU9970194,2021-08-24 13:00:00 UTC,LOS ANGELES  CA,Los Angeles,United States,USLAX,,Estimated arrival at destination,Estimated arrival at destination,9312781,372218000,,Vessel,NYK VEGA,HDMU
TCNU5067609,2021-08-27 13:00:00 UTC,LONG BEACH  CA,Long Beach,United States,USLGB,,Estimated arrival at destination,Estimated arrival at destination,,,,Vessel,HYUNDAI MARS,HDMU
OOLU1245915,2021-08-25 23:00:00 UTC,,,,,,Estimated arrival at destination,Estimated arrival at destination,,,,Vessel,,COSU
FFAU2714334,2021-08-04 14:30:00 UTC,LONG BEACH,Long Beach,United States,USLGB,,Vessel arrived at destination port,Estimated Time of Arrival,7434444,353056000,,Vessel,MSC KATIE,MEDU
CCLU7975366,2021-08-25 23:00:00 UTC,,,,,,Estimated arrival at destination,Estimated arrival at destination,,,,Vessel,,COSU
CSNU1076762,2021-09-02 11:00:00 UTC,,,,,,Estimated arrival at destination,Estimated arrival at destination,,,,Vessel,,COSU
DFSU7284047,2021-08-25 23:00:00 UTC,,,,,,Estimated arrival at destination,Estimated arrival at destination,,,,Vessel,,COSU
